urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:procedure,urn:ogc:def:parameter:x-istsos:1.0:river:water:height,urn:ogc:def:parameter:x-istsos:1.0:river:water:height:qualityIndex
2019-02-23T00:01:53+05:30,MASPOTHA_WL,0.3,100
2019-02-23T00:11:53+05:30,MASPOTHA_WL,0.29,100
2019-02-23T00:21:54+05:30,MASPOTHA_WL,0.29,100
2019-02-23T00:31:54+05:30,MASPOTHA_WL,0.29,100
2019-02-23T00:41:55+05:30,MASPOTHA_WL,0.3,100
2019-02-23T00:51:55+05:30,MASPOTHA_WL,0.29,100
2019-02-23T01:01:55+05:30,MASPOTHA_WL,0.29,100
2019-02-23T01:11:55+05:30,MASPOTHA_WL,0.3,100
2019-02-23T01:21:55+05:30,MASPOTHA_WL,0.29,100
2019-02-23T01:31:55+05:30,MASPOTHA_WL,0.29,100
2019-02-23T01:41:56+05:30,MASPOTHA_WL,0.29,100
2019-02-23T01:51:56+05:30,MASPOTHA_WL,0.29,100
2019-02-23T02:01:57+05:30,MASPOTHA_WL,0.29,100
2019-02-23T02:11:57+05:30,MASPOTHA_WL,0.28,100
2019-02-23T02:21:58+05:30,MASPOTHA_WL,0.29,100
2019-02-23T02:31:58+05:30,MASPOTHA_WL,0.29,100
2019-02-23T02:41:58+05:30,MASPOTHA_WL,0.29,100
2019-02-23T02:51:58+05:30,MASPOTHA_WL,0.29,100
2019-02-23T03:01:59+05:30,MASPOTHA_WL,0.29,100
2019-02-23T03:11:59+05:30,MASPOTHA_WL,0.29,100
2019-02-23T03:21:59+05:30,MASPOTHA_WL,0.29,100
2019-02-23T03:31:59+05:30,MASPOTHA_WL,0.29,100
2019-02-23T03:42:00+05:30,MASPOTHA_WL,0.29,100
2019-02-23T03:52:00+05:30,MASPOTHA_WL,0.29,100
2019-02-23T04:02:00+05:30,MASPOTHA_WL,0.29,100
2019-02-23T04:12:00+05:30,MASPOTHA_WL,0.3,100
2019-02-23T04:22:00+05:30,MASPOTHA_WL,0.29,100
2019-02-23T04:32:00+05:30,MASPOTHA_WL,0.3,100
2019-02-23T04:42:01+05:30,MASPOTHA_WL,0.28,100
2019-02-23T04:52:03+05:30,MASPOTHA_WL,0.29,100
2019-02-23T05:02:03+05:30,MASPOTHA_WL,0.29,100
2019-02-23T05:12:03+05:30,MASPOTHA_WL,0.29,100
2019-02-23T05:22:03+05:30,MASPOTHA_WL,0.29,100
2019-02-23T05:32:03+05:30,MASPOTHA_WL,0.29,100
2019-02-23T05:42:03+05:30,MASPOTHA_WL,0.29,100
2019-02-23T05:52:03+05:30,MASPOTHA_WL,0.29,100
2019-02-23T06:02:03+05:30,MASPOTHA_WL,0.28,100
2019-02-23T06:12:03+05:30,MASPOTHA_WL,0.28,100
2019-02-23T06:22:03+05:30,MASPOTHA_WL,0.28,100
2019-02-23T06:32:03+05:30,MASPOTHA_WL,0.28,100
2019-02-23T06:42:03+05:30,MASPOTHA_WL,0.28,100
2019-02-23T06:52:03+05:30,MASPOTHA_WL,0.28,100
2019-02-23T07:02:04+05:30,MASPOTHA_WL,0.29,100
2019-02-23T07:12:04+05:30,MASPOTHA_WL,0.29,100
2019-02-23T07:22:04+05:30,MASPOTHA_WL,0.29,100
2019-02-23T07:32:04+05:30,MASPOTHA_WL,0.28,100
2019-02-23T07:42:05+05:30,MASPOTHA_WL,0.29,100
2019-02-23T07:52:05+05:30,MASPOTHA_WL,0.28,100
2019-02-23T08:02:05+05:30,MASPOTHA_WL,0.29,100
2019-02-23T08:12:05+05:30,MASPOTHA_WL,0.23,100
2019-02-23T08:22:06+05:30,MASPOTHA_WL,0.19,100
2019-02-23T08:32:06+05:30,MASPOTHA_WL,0.16,100
2019-02-23T08:42:07+05:30,MASPOTHA_WL,0.17,100
2019-02-23T08:52:07+05:30,MASPOTHA_WL,0.16,100
2019-02-23T09:02:08+05:30,MASPOTHA_WL,0.14,100
2019-02-23T09:12:08+05:30,MASPOTHA_WL,0.16,100
2019-02-23T09:22:09+05:30,MASPOTHA_WL,0.14,100
2019-02-23T09:32:09+05:30,MASPOTHA_WL,0.15,100
2019-02-23T09:42:09+05:30,MASPOTHA_WL,0.16,100
2019-02-23T09:52:10+05:30,MASPOTHA_WL,0.15,100
2019-02-23T10:02:10+05:30,MASPOTHA_WL,0.15,100
2019-02-23T10:12:10+05:30,MASPOTHA_WL,0.14,100
2019-02-23T10:22:11+05:30,MASPOTHA_WL,0.13,100
2019-02-23T10:32:11+05:30,MASPOTHA_WL,0.13,100
2019-02-23T10:42:12+05:30,MASPOTHA_WL,-33.9,100
2019-02-23T10:52:12+05:30,MASPOTHA_WL,0.15,100
2019-02-23T11:02:13+05:30,MASPOTHA_WL,0.15,100
2019-02-23T11:12:13+05:30,MASPOTHA_WL,0.15,100
2019-02-23T11:22:14+05:30,MASPOTHA_WL,0.14,100
2019-02-23T11:32:14+05:30,MASPOTHA_WL,0.16,100
2019-02-23T11:42:15+05:30,MASPOTHA_WL,0.15,100
2019-02-23T11:52:15+05:30,MASPOTHA_WL,0.16,100
2019-02-23T12:02:15+05:30,MASPOTHA_WL,0.16,100
2019-02-23T12:12:15+05:30,MASPOTHA_WL,0.15,100
2019-02-23T12:22:16+05:30,MASPOTHA_WL,0.15,100
2019-02-23T12:32:16+05:30,MASPOTHA_WL,0.15,100
2019-02-23T12:42:17+05:30,MASPOTHA_WL,0.16,100
2019-02-23T12:52:17+05:30,MASPOTHA_WL,0.16,100
2019-02-23T13:02:18+05:30,MASPOTHA_WL,0.16,100
2019-02-23T13:12:18+05:30,MASPOTHA_WL,0.19,100
2019-02-23T13:22:18+05:30,MASPOTHA_WL,0.23,100
2019-02-23T13:32:19+05:30,MASPOTHA_WL,0.19,100
2019-02-23T13:42:19+05:30,MASPOTHA_WL,0.18,100
2019-02-23T13:52:19+05:30,MASPOTHA_WL,0.18,100
2019-02-23T14:02:20+05:30,MASPOTHA_WL,0.17,100
2019-02-23T14:12:20+05:30,MASPOTHA_WL,0.16,100
2019-02-23T14:22:21+05:30,MASPOTHA_WL,0.16,100
2019-02-23T14:32:21+05:30,MASPOTHA_WL,0.17,100
2019-02-23T14:42:22+05:30,MASPOTHA_WL,0.17,100
2019-02-23T14:52:22+05:30,MASPOTHA_WL,0.18,100
2019-02-23T15:02:22+05:30,MASPOTHA_WL,0.16,100
2019-02-23T15:12:22+05:30,MASPOTHA_WL,0.17,100
2019-02-23T15:22:23+05:30,MASPOTHA_WL,0.18,100
2019-02-23T15:32:23+05:30,MASPOTHA_WL,0.19,100
2019-02-23T15:42:25+05:30,MASPOTHA_WL,0.18,100
2019-02-23T15:52:25+05:30,MASPOTHA_WL,0.18,100
